TestCaseID,CRUDOperation,Title,Preconditions,TestSteps,InputData,ExpectedResult,TestCaseStatus,AutomationStatus
TC-CRUD-001,CREATE,Create customer with valid data,none,"Enter valid name and location and submit",Name=John Wayne; Location=Denver,Customer is saved successfully and is displayed in customers list,In Review,Not implemented
TC-CRUD-002,CREATE,Create customer with empty name,none,"Leave name empty, enter location and submit",Name=; Location=Denver,Validation error is shown and customer is not saved,In Review,Not implemented
TC-CRUD-003,CREATE,Create customer with empty location,none,"Enter name, leave location empty and submit",Name=John Wayne; Location=,Validation error is shown and customer is not saved,In Review,Not implemented
TC-CRUD-004,CREATE,Create customer with name exceeding max length,none,"Enter too long name and submit",Name=201+Characters; Location=Denver,Validation error is shown and customer is not saved,In Review,Not implemented
TC-CRUD-015,CREATE,Create customer with location exceeding max length,none,"Enter too long location and submit",Name=Danilo; Location=201+Characters,Validation error is shown and customer is not saved,In Review,Not implemented

TC-CRUD-005,READ,View customer list with existing records,At least one customer exists,"Open customer list page",none,Customer list is displayed with all saved customers,In Review,Not implemented
TC-CRUD-007,READ,View empty customer list,No customers exist,"Open customer list page",none,Empty state message is displayed,In Review ,Not implemented

TC-CRUD-008,UPDATE,Update customer with valid data,Customer exists,"Edit customer, change name and location, submit",Name=Johnny Wayne; Location=Boulder,Customer data is updated successfully,In Review,Not implemented
TC-CRUD-009,UPDATE,Update customer with empty name,Customer exists,"Clear name field and submit",Name=; Location=Denver,Validation error is shown and customer is not updated,In Review,Not implemented
TC-CRUD-010,UPDATE,Update customer with empty location,Customer exists,"Clear location field and submit",Name=John Wayne; Location=,Validation error is shown and customer is not updated,In Review,Not implemented
TC-CRUD-011,UPDATE,Cancel customer update,Customer exists,"Open edit form and cancel",none,No changes are saved and original data remains,In Review,Not implemented

TC-CRUD-012,DELETE,Delete existing customer,Customer exists,"Click delete button and confirm",none,Customer is deleted successfully,In Review,Not implemented
TC-CRUD-013,DELETE,Cancel customer deletion,Customer exists,"Click delete button and cancel confirmation",none,Customer is not deleted,In Review,Not implemented
